Reporting_Economy,ProductSector,Partner_Economy,2016,2017,2018,2019,2020,2021,2022
Australia,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,132,181,214,206,189,239,
Australia,SI3_AGG - MAMTTE - Transport equipment,World,4323,3814,3880,3953,3119,3224,
Australia,SI3_AGG - MAMTAU - Automotive products,World,2227,1725,1249,1311,1098,1345,
Australia,SI3_AGG - MATE - Textiles,World,201,209,202,212,190,250,
Australia,SI3_AGG - MACL - Clothing,World,244,251,250,263,264,360,
Australia and New Zealand,SI3_AGG - TO - Total merchandise,World,226260,269206,296770,310522,289200,389641,457837
Austria,SI3_AGG - TO - Total merchandise,World,152090,168026,184815,178670,169418,202806,211647
Austria,SI3_AGG - AG - Agricultural products,World,15253,16594,18190,17980,18253,21313,
Austria,SI3_AGG - AGFO - Food,World,11880,12955,14009,14108,14774,16416,
Austria,SI3_AGG - MI - Fuels and mining products,World,7242,8784,10267,9790,8862,12603,
Austria,SI3_AGG - MIFU - Fuels,World,2543,3166,3879,4019,3226,4924,
Austria,SI3_AGG - MA - Manufactures,World,127990,141189,154694,149263,139226,164845,
Austria,SI3_AGG - MAIS - Iron and steel,World,7162,8759,9950,8681,7128,9977,
Austria,SI3_AGG - MACH - Chemicals,World,20012,22810,23923,24511,25707,30429,
Austria,SI3_AGG - MACHPH - Pharmaceuticals,World,9304,11231,11057,12483,13639,14837,
Austria,SI3_AGG - MAMT - Machinery and transport equipment,World,62419,68850,75578,73194,65950,76099,
Austria,SI3_AGG - MAMTOF - Office and telecom equipment,World,9118,10443,10988,9097,8471,9553,
Austria,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1801,1907,2090,1981,1952,2100,
Austria,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,5681,6746,6966,5336,4991,5545,
Austria,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1635,1790,1932,1780,1529,1908,
Austria,SI3_AGG - MAMTTE - Transport equipment,World,22892,24732,27172,28060,23903,27005,
Austria,SI3_AGG - MAMTAU - Automotive products,World,16935,18349,20714,21463,17761,19468,
Austria,SI3_AGG - MATE - Textiles,World,1975,2048,2144,2017,2206,2250,
Austria,SI3_AGG - MACL - Clothing,World,2668,2897,3161,3290,2966,3350,
Azerbaijan,SI3_AGG - TO - Total merchandise,World,13108,15481,20317,19635,13733,22207,41794
Azerbaijan,SI3_AGG - AG - Agricultural products,World,542,699,787,899,896,1033,
Azerbaijan,SI3_AGG - AGFO - Food,World,521,654,701,768,754,809,
Azerbaijan,SI3_AGG - MI - Fuels and mining products,World,12147,14053,18057,17996,12159,19907,
Azerbaijan,SI3_AGG - MIFU - Fuels,World,12000,13867,17879,17800,11981,19631,
Azerbaijan,SI3_AGG - MA - Manufactures,World,417,426,487,565,480,1060,
Azerbaijan,SI3_AGG - MAIS - Iron and steel,World,88,77,78,47,44,109,
Azerbaijan,SI3_AGG - MACH - Chemicals,World,153,179,195,279,246,683,
Azerbaijan,SI3_AGG - MACHPH - Pharmaceuticals,World,2,1,2,1,1,5,
Azerbaijan,SI3_AGG - MAMT - Machinery and transport equipment,World,99,58,72,89,72,64,
Azerbaijan,SI3_AGG - MAMTOF - Office and telecom equipment,World,3,3,6,5,20,5,
Azerbaijan,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,1,2,3,2,18,3,
Azerbaijan,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,1,3,3,2,3,
Azerbaijan,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,0,0,0,0,0,0,
Azerbaijan,SI3_AGG - MAMTTE - Transport equipment,World,61,11,10,17,6,10,
Azerbaijan,SI3_AGG - MAMTAU - Automotive products,World,16,9,4,8,2,6,
Azerbaijan,SI3_AGG - MATE - Textiles,World,30,41,52,59,46,86,
Azerbaijan,SI3_AGG - MACL - Clothing,World,2,2,1,1,2,1,
Bahamas,SI3_AGG - TO - Total merchandise,World,481,571,642,695,431,636,783
Bahamas,SI3_AGG - AG - Agricultural products,World,79,89,87,87,36,47,
Bahamas,SI3_AGG - AGFO - Food,World,75,86,84,84,34,44,
Bahamas,SI3_AGG - MI - Fuels and mining products,World,54,84,120,95,116,85,
Bahamas,SI3_AGG - MIFU - Fuels,World,46,73,102,79,96,65,
Bahamas,SI3_AGG - MA - Manufactures,World,270,300,316,355,187,352,
Bahamas,SI3_AGG - MAIS - Iron and steel,World,2,1,2,1,0,0,
Bahamas,SI3_AGG - MACH - Chemicals,World,122,134,148,103,59,47,
Bahamas,SI3_AGG - MACHPH - Pharmaceuticals,World,0,0,0,0,0,0,
Bahamas,SI3_AGG - MAMT - Machinery and transport equipment,World,98,116,117,200,53,133,
Bahamas,SI3_AGG - MAMTOF - Office and telecom equipment,World,5,16,3,4,3,3,
Bahamas,SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,2,2,1,1,2,1,
Bahamas,SI3_AGG - MAMTOTTL - Telecommunications equipment,World,2,13,2,3,1,2,
Bahamas,SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,1,1,0,0,0,0,
Bahamas,SI3_AGG - MAMTTE - Transport equipment,World,58,40,61,67,26,64,
Bahamas,SI3_AGG - MAMTAU - Automotive products,World,25,7,4,10,4,10,
Bahamas,SI3_AGG - MATE - Textiles,World,2,1,2,2,29,84,
Bahamas,SI3_AGG - MACL - Clothing,World,0,0,0,0,1,1,
"Bahrain, Kingdom of",SI3_AGG - TO - Total merchandise,World,12785,15376,18044,18120,14066,22369,29788
"Bahrain, Kingdom of",SI3_AGG - AG - Agricultural products,World,377,535,605,625,599,684,
"Bahrain, Kingdom of",SI3_AGG - AGFO - Food,World,368,521,595,613,587,668,
"Bahrain, Kingdom of",SI3_AGG - MI - Fuels and mining products,World,8541,11191,13564,13260,9540,16815,
"Bahrain, Kingdom of",SI3_AGG - MIFU - Fuels,World,6082,8411,10594,9895,5938,9941,
"Bahrain, Kingdom of",SI3_AGG - MA - Manufactures,World,3797,3596,3788,3845,3728,4640,
"Bahrain, Kingdom of",SI3_AGG - MAIS - Iron and steel,World,473,515,679,464,615,929,
"Bahrain, Kingdom of",SI3_AGG - MACH - Chemicals,World,626,766,805,858,801,1078,
"Bahrain, Kingdom of",SI3_AGG - MACHPH - Pharmaceuticals,World,1,0,1,1,2,5,
"Bahrain, Kingdom of",SI3_AGG - MAMT - Machinery and transport equipment,World,1292,947,869,1095,1268,1314,
"Bahrain, Kingdom of",SI3_AGG - MAMTOF - Office and telecom equipment,World,223,69,55,88,127,167,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTEP - Electronic data processing and office equipment,World,130,46,28,43,68,87,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTTL - Telecommunications equipment,World,90,22,26,43,56,77,
"Bahrain, Kingdom of",SI3_AGG - MAMTOTIC - Integrated circuits and electronic components,World,4,1,0,2,3,3,
"Bahrain, Kingdom of",SI3_AGG - MAMTTE - Transport equipment,World,465,580,509,638,657,767,
"Bahrain, Kingdom of",SI3_AGG - MAMTAU - Automotive products,World,223,493,400,500,445,416,
"Bahrain, Kingdom of",SI3_AGG - MATE - Textiles,World,151,157,204,187,134,202,
"Bahrain, Kingdom of",SI3_AGG - MACL - Clothing,World,322,129,90,71,49,44,
Bangladesh,SI3_AGG - TO - Total merchandise,World,34894,35851,39252,39337,33605,44223,54695
Bangladesh,SI3_AGG - AG - Agricultural products,World,1182,1152,1116,1196,1195,1596,
